,Style,position,item,ref num,content,colorway 1 ,colorway 2,colorway 3,none,none.1,none.2,amount,0,0.1,0.2,location ,silt,military,ink,port,bone,black,walnut,location,colorway 1,colorway 4,colorway 5,colorway 6,soil,vintage camo broken twill,dusty green,0.3,soil / black,black / oxblood,gunmetal / bombay,dark slate,rust,raven,none.3,none.4,slider ref number,floral print broken twill,black/ rust,bone/ black,gunmetal/ ink,details,colorways,0.4,black overdye denim,brown overdye denim,bone/floral print,rust / black,ink / gunmetal,gunmetal,silt ,bone ,silt / gunmetal,walnut / ink,camo,sand / dark slate,harvest / raven,raw blue denim,pink,ref number,winter 2018/2019,contractor:,soluna
0,L1-107-18_WILCOX_4-7-17_SHELL.csv,ottoman,,solis / sotp080-2l32-i ottoman / 10k/10k dot lam / c6 + dwr,none,,,,none,none,,,,,,a,,military,ink,,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L1-107-18_WILCOX_4-7-17_SHELL.csv,insulation,,supplier/ reference number,content,,,,0,0,,,,,,location ,,military,ink,,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L1-107-18_WILCOX_4-7-17_SHELL.csv,polyfill insulation ,,pinneco core 60g,100% polyester,,,,none,none,,,,,,all over,,pinneco core 60g,pinneco core 60g,,,pinneco core 60g,pinneco core 60g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L1-107-18_WILCOX_4-7-17_SHELL.csv,seam tape,,supplier/ reference number,content,,,,0,0,,,,,,location ,,military,ink,,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L1-107-18_WILCOX_4-7-17_SHELL.csv,seam tape,,tsgs ,none,,,,none,none,,,,,,critically seam taped,,critically seam taped,critically seam taped,,,critically seam taped,critically seam taped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L1-107-18_WILCOX_4-7-17_SHELL.csv,lining,,supplier/ reference number,content,,,,0,0,,,,,,location ,,military,ink,,,black,walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,L1-107-18_WILCOX_4-7-17_SHELL.csv,blanket lining,,solis / soty066-d blanket lining / brush / no dwr,none,,,,none,none,,,,,,hood,,blanket lining,blanket lining,,,blanket lining,blanket lining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L1-107-18_WILCOX_4-7-17_SHELL.csv,blanket lining,,solis / soty066-d blanket lining / brush / no dwr,none,,,,none,none,,,,,,main body,,blanket lining,blanket lining,,,blanket lining,blanket lining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L1-107-18_WILCOX_4-7-17_SHELL.csv,blanket lining,,solis / soty066-d blanket lining / brush / no dwr,none,,,,none,none,,,,,,hand pocket bags,,blanket lining,blanket lining,,,blanket lining,blanket lining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L1-107-18_WILCOX_4-7-17_SHELL.csv,solid 210t ,,solis / sonp006-1,100% nylon,,,,none,none,,,,,,sleeves,,black,black,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,L1-107-18_WILCOX_4-7-17_SHELL.csv,solid 210t ,,solis / sonp006-1,100% nylon,,,,none,none,,,,,,chest pocket bag,,black,black,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,L1-107-18_WILCOX_4-7-17_SHELL.csv,solid coated 210t,,solis / sonp006-pu03,100% nylon,,,,none,none,,,,,,lower body & powder skirt,,black,black,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,L1-107-18_WILCOX_4-7-17_SHELL.csv,brushed tricot,,solis / brushed tricot,100% polyester,,,,none,none,,,,,,chin guard,,black,black,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,L1-107-18_WILCOX_4-7-17_SHELL.csv,regular mesh ,,supplier / 1606b02,100% polyester,,,,none,none,,,,,,goggle pocket,,black,black,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,L1-107-18_WILCOX_4-7-17_SHELL.csv,stretch lycra,,supplier / ref code,content,,,,none,none,,,,,,sleeve gaiters,,black,black,,,black,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,L1-101-17_ALPHA_SHELL.csv,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L1-101-17_ALPHA_SHELL.csv,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L1-101-17_ALPHA_SHELL.csv,bonding film,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L1-101-17_ALPHA_SHELL.csv,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,cotton touch ,,solis / sonp020-cc01-m / c6 + dwr / 5k/5k,none,,,,none,none,none,,,,,a,,,,,,black,walnut,,,,,,,,,,,,,dark slate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,ribbing,,leader collar / as last year production,none,,,,none,none,none,,,,,"collar, sleeve hem",,,,,,black,walnut,,,,,,,,,,,,,dark slate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,insulation,,supplier/ reference number,content,,,,0,0,0,,,,,location ,,,,,,black,walnut,,,,,,,,,,,,,dark slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,polyfill insulation ,,pinneco mantle 60g ,100% polyester,,,,none,none,none,,,,,all over,,,,,,60g,60g,,,,,,,,,,,,,60g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,seam tape,,supplier/ reference number,content,,,,0,0,0,,,,,location ,,,,,,black,walnut,,,,,,,,,,,,,dark slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,critically seam sealed,,tsgs,none,,,,none,none,none,,,,,critically seam sealed,,,,,,critically seam sealed,critically seam sealed,,,,,,,,,,,,,critically seam sealed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,lining,,supplier/ reference number,content,,,,0,0,0,,,,,location ,,,,,,black,walnut,,,,,,,,,,,,,dark slate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,blanket lining,,solis / soty066-d blanket lining / brush / no dwr,none,,,,none,none,none,,,,,main body,,,,,,blanket lining,blanket lining,,,,,,,,,,,,,blanket lining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,solid 210t ,,solis / sonp006-1,100% nylon,,,,none,none,none,,,,,sleeves,,,,,,black,black,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L1-109-18_ROCKEFELLER_4-07-17_SHELL.csv,solid 210t ,,solis / sonp006-1,100% nylon,,,,none,none,none,,,,,pocket bags,,,,,,black,black,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,L1-102-18_SUTTON_4_7_17_TRIMS.csv, #5 metal zipper,,ykk / 2-way semi auto locking with 2 l1 custom pulls,,,,,,,,1,none,none,,,,silder/pull/ teeth color: x antique copper/ zipper tape color: black,silder/pull/ teeth color: x antique copper/ zipper tape color: black,,,silder/pull/ teeth color: x antique copper/ zipper tape color: black,,center front,,,,,,,,,,,,,silder/pull/ teeth color:h6 antique silver/ zipper tape color: black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,L1-102-18_SUTTON_4_7_17_TRIMS.csv, #5 metal zipper,,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1,none,none,,,,silder/pull/ teeth color: x antique copper/ zipper tape color: 19-0515 tcx military,silder/pull/ teeth color: x antique copper/ zipper tape color: 19-4010 tcx ink,,,silder/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black,,right chest pocket vertical,,,,,,,,,,,,,silder/pull/ teeth color:h6 antique silver/ zipper tape color: 19-1540 tcx rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,L1-102-18_SUTTON_4_7_17_TRIMS.csv, #5 coil zipper,,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1 per side = 2,none,none,,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,underarm vents,,,,,,,,,,,,,silder/pull color: h6 antique silver/ zipper tape/ teeth color: black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,L1-102-18_SUTTON_4_7_17_TRIMS.csv, #5 coil zipper  (special herringbone tape),,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1 per side = 2,none,none,,,,silder/pull color: x antique copper/ zipper tape/ teeth color: 19-0515 tcx military,silder/pull color: x antique copper/ zipper tape/ teeth color: 19-4010 tcx ink,,,silder/pull color: x antique copper/ zipper tape/ teeth color: 19-4006 tcx black,,hand pockets vertical,,,,,,,,,,,,,silder/pull color: h6 antique silver/ zipper tape/ teeth color: 19-1540 tcx rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,L1-102-18_SUTTON_4_7_17_TRIMS.csv, #5 coil zipper,,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1 per side = 2,none,none,,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,hand pockets horizontal,,,,,,,,,,,,,silder/pull color: h6 antique silver/ zipper tape/ teeth color: black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L1-102-18_SUTTON_4_7_17_TRIMS.csv, #5 coil zipper,,non ykk / 1-way dadhr die cast wire non locking,,,,,,,,1,none,none,,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,lining pocket vertical,,,,,,,,,,,,,silder/pull color: h6 antique silver/ zipper tape/ teeth color: black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,L1-102-18_SUTTON_4_7_17_TRIMS.csv,additional zipper pulls,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,ink,,,black,,location,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"l1-2018-trim-017
l1 zipper pull",,ykk,,,,,,,,top and bottom pull = 2,none,none,,,,ykk x antique copper,ykk x antique copper,,,ykk x antique copper,,center front,,,,,,,,,,,,,ykk h6 antique silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,L1-102-18_SUTTON_4_7_17_TRIMS.csv,l1-2018-trim-018 / non branded zipper pull faux leather ,,please source: same supplier as other faux leather trims,,,,,,,,5,none,none,,,,brown faux leather,brown faux leather,,,brown faux leather,,right chest pocket (1) hand pockets (4),,,,,,,,,,,,,brown faux leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,L1-102-18_SUTTON_4_7_17_TRIMS.csv, 11nt-045 / self fabric pull ,,factory made,,,,,,,,1 per side = 2,none,none,,,,match to shell,match to shell,,,match to shell,,underarm vents,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,L1-102-18_SUTTON_4_7_17_TRIMS.csv, 11nt-045 / self fabric pull ,,factory made,,,,,,,,1,none,none,,,,match to shell,match to shell,,,match to shell,,lining pocket vertical,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,L1-102-18_SUTTON_4_7_17_TRIMS.csv,branded trims,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,ink,,,black,,location,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"l1-2018-trim-010
faux leather backed snap",,luks,,,,,,,,8,none,none,,,,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,,,doxcp dull oxidized copper/ brown faux leather,,"cf placket (4), pocket flaps (4)",,,,,,,,,,,,,sas54 pseudo anti silver/brown faux leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"l1-2018-trim-004
brown faux leather hem wrap",,please source supplier,,,,,,,,1,none,none,,,,brown faux leather,brown faux leather,,,brown faux leather,,left chest pocket flap,,,,,,,,,,,,,brown faux leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"l1-2018-trim-003
faux leather patch ",,please source supplier,,,,,,,,1,none,none,,,,brown faux leather,brown faux leather,,,brown faux leather,,right hand pocket,,,,,,,,,,,,,brown faux leather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",,soluna,,,,,,,,1,none,none,,,,matching,matching,,,matching,,left sleeve hem,,,,,,,,,,,,,matching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",,soluna,,,,,,,,1,none,none,,,,matching,matching,,,matching,,back right,,,,,,,,,,,,,matching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,L1-102-18_SUTTON_4_7_17_TRIMS.csv,trims,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,ink,,,black,,location,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,L1-102-18_SUTTON_4_7_17_TRIMS.csv,15mm metal snap ,,luks / 404,,,,,,,,"2 female, 4 male",none,none,,,,al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / doxcp oxidized copper base ,,,al023 alloy (d) cap / doxcp oxidized copper,,powder skirt - front closure,,,,,,,,,,,,,al023 alloy (d) cap / sas54 pseudo anti silver base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,L1-102-18_SUTTON_4_7_17_TRIMS.csv,15mm metal snap ,,luks / 404,,,,,,,,1 male 1 female,none,none,,,,al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / doxcp oxidized copper base ,,,al023 alloy (d) cap / doxcp oxidized copper,,snap away powder skirt - lining facing ,,,,,,,,,,,,,al023 alloy (d) cap / sas54 pseudo anti silver base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,L1-102-18_SUTTON_4_7_17_TRIMS.csv,15mm metal snap ,,luks / 404,,,,,,,,3 sets,none,none,,,,al023 alloy (d) cap / doxcp oxidized copper base ,al023 alloy (d) cap / doxcp oxidized copper base ,,,al023 alloy (d) cap / doxcp oxidized copper,,powder skirt - jacket to pant connection,,,,,,,,,,,,,al023 alloy (d) cap / sas54 pseudo anti silver base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,L1-102-18_SUTTON_4_7_17_TRIMS.csv,metal eyelets 8mm ,,luks / et04,,,,,,,,1 per side = 2 ,none,none,,,,doxcp oxidized copper,doxcp oxidized copper,,,doxcp oxidized copper,,hood cord exit front,,,,,,,,,,,,,sas54 pseudo anti silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,L1-102-18_SUTTON_4_7_17_TRIMS.csv,metal eyelets 8mm ,,luks / et04,,,,,,,,2 per side = 4 ,none,none,,,,doxcp oxidized copper,doxcp oxidized copper,,,doxcp oxidized copper,,hem cord exit,,,,,,,,,,,,,sas54 pseudo anti silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,L1-102-18_SUTTON_4_7_17_TRIMS.csv,cord lock: small cord lock with tie down,,sun sun/ sv160824-2a,,,,,,,,1 per side = 2,none,none,,,,19-0515 tcx military,19-4010 tcx ink,,,19-4006 tcx black,,front hood adjust,,,,,,,,,,,,,19-1540 tcx rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,L1-102-18_SUTTON_4_7_17_TRIMS.csv,cord lock,,sv160819-4a,,,,,,,,1 per side = 2,none,none,,,,19-0515 tcx military,19-4010 tcx ink,,,19-4006 tcx black,,hem adjust exposed at lining,,,,,,,,,,,,,19-1540 tcx rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,L1-102-18_SUTTON_4_7_17_TRIMS.csv,bead,,sv160725-1a,,,,,,,,1 per side = 2,none,none,,,,19-0515 tcx military,19-4010 tcx ink,,,19-4006 tcx black,,hem adjust,,,,,,,,,,,,,19-1540 tcx rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,L1-102-18_SUTTON_4_7_17_TRIMS.csv,metal drawcord tip,,see photo,,,,,,,,1 per side = 2,none,none,,,,doxcp oxidized copper,doxcp oxidized copper,,,doxcp oxidized copper,,hood shockcord tips,,,,,,,,,,,,,sas54 pseudo anti silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,L1-102-18_SUTTON_4_7_17_TRIMS.csv,keyclip,,as last year production,,,,,,,,1,none,none,,,,black,black,,,black,,right hand pocket,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,L1-102-18_SUTTON_4_7_17_TRIMS.csv,notions,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,ink,,,black,,location,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"grosgrain 1/4""",,xxx,,,,,,,,1 per side = 2,none,none,,,,black,black,,,black,,attach front hood cord lock,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"grosgrain 3/8""",,xxx,,,,,,,,1 per side = 2,none,none,,,,black,black,,,black,,attach hem cord lock,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"grosgrain 1/4""",,xxx,,,,,,,,1,none,none,,,,black,black,,,black,,attach keyclip right hand pocket ,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",,none,,,,,,,,2,none,none,,,,black,black,,,black,,powder skirt - side tabs jacket to pant connection ,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"shell fabric tab  1"" x 1"" wrap around ",,none,,,,,,,,1,none,none,,,,match to shell,match to shell,,,match to shell,,jacket to pant connection center back on tab,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"shell fabric tab  1"" x 1"" wrap around ",,none,,,,,,,,1,none,none,,,,match to shell,match to shell,,,match to shell,,jacket to pant connection center back under snap on gripper elastic,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"shell fabric tab 3/4"" x  1"" ",,none,,,,,,,,1 per side = 2,none,none,,,,match to shell,match to shell,,,match to shell,,jacket to pant connection at side tabs under snaps,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"elastic 1"" x 4""",,none,,,,,,,,1,none,none,,,,black,black,,,black,,powder skirt middle tab - jacket to pant connection ,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,L1-102-18_SUTTON_4_7_17_TRIMS.csv,elastic ,,none,,,,,,,,1,none,none,,,,available,available,,,available,,back of sleeve cuffs,,,,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"elastic 1/4"" ",,none,,,,,,,,1,none,none,,,,black,black,,,black,,media pocket cord holder,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,L1-102-18_SUTTON_4_7_17_TRIMS.csv,gripper elastic 25mm non logo,,mtt0022,,,,,,,,1,none,none,,,,black,black,,,black,,powder skirt hem,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,L1-102-18_SUTTON_4_7_17_TRIMS.csv,elastine binding,,none,,,,,,,,1,none,none,,,,black,black,,,black,,goggle pocket binding,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,L1-102-18_SUTTON_4_7_17_TRIMS.csv,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,,"example: cw15-065
chun wo ho (please source)",,,,,,,,1,none,none,,,,"colorway: 4
19-0515 tcx military/
17-0620 tcx dusty green","colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal",,,"colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal",,hood & hem,,,,,,,,,,,,,"colorway: 2
19-1540 tcx rust/
19-4006 tcx black
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,L1-102-18_SUTTON_4_7_17_TRIMS.csv,velcro,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,ink,,,black,,location,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,L1-102-18_SUTTON_4_7_17_TRIMS.csv," 1/2"" x 1 1/2"" velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,1,none,none,,,,match to shell,match to shell,,,match to shell,,chin,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,L1-102-18_SUTTON_4_7_17_TRIMS.csv," 1/2"" x 3 velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,4,none,none,,,,match to shell,match to shell,,,match to shell,,center front placket,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"1/2"" x 1 1/2"" velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,2,none,none,,,,match to shell,match to shell,,,match to shell,,left chest pocket flaps,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"1/2"" x 1 1/2"" velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,1,none,none,,,,match to shell,match to shell,,,match to shell,,right pocket flaps,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"1/2"" x 2"" velcro with rounded corners",,paiho / loop#1057 / hooketn7,,,,,,,,2,none,none,,,,match to shell,match to shell,,,match to shell,,hand pocket flaps,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"1"" x 3 3/4"" velcro with rounded corners",,paiho / loop#1057,,,,,,,,1 per side = 2,none,none,,,,match to shell,match to shell,,,match to shell,,cuff on body,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,L1-102-18_SUTTON_4_7_17_TRIMS.csv,"1"" x 2 1/2"" velcro with rounded corners",,paiho / hooketn7,,,,,,,,1 per side = 2,none,none,,,,match to shell,match to shell,,,match to shell,,cuff on tab,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,L1-102-18_SUTTON_4_7_17_TRIMS.csv,thread,,spi,,,,,,,,amount,0,0,,,,military,ink,,,black,,supplier/ ref number,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,L1-102-18_SUTTON_4_7_17_TRIMS.csv,seams,,10-12 spi,,,,,,,,none,none,none,,,,match to shell,match to shell,,,match to shell,,30/2,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,L1-102-18_SUTTON_4_7_17_TRIMS.csv,topstitch,,8-10 spi,,,,,,,,none,none,none,,,,match to shell,match to shell,,,match to shell,,30/2,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,L1-102-18_SUTTON_4_7_17_TRIMS.csv,bartacks,,none,,,,,,,,none,none,none,,,,match to shell,match to shell,,,match to shell,,100/2,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,L1-102-18_SUTTON_4_7_17_TRIMS.csv,sleeve gaiter cover stitch,,must be stretch thread,,,,,,,,none,none,none,,,,match to shell,match to shell,,,match to shell,,none,,,,,,,,,,,,,match to shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,L1-102-18_SUTTON_4_7_17_TRIMS.csv,labels ,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,ink,,,black,,location,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,L1-102-18_SUTTON_4_7_17_TRIMS.csv,15k/15k fully taped,,soluna/ main label,,,,,,,,1,none,none,,,,none,15k/15k fully taped,,,none,,center back below neck seam,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,L1-102-18_SUTTON_4_7_17_TRIMS.csv,size label (sample size l),,soluna/ size label,,,,,,,,1,none,none,,,,none,"xs, s, m, l, xl",,,none,,center back below main label,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,L1-102-18_SUTTON_4_7_17_TRIMS.csv,hang tags,,supplier/ reference number,,,,,,,,amount,0,0,,,,military,ink,,,black,,location,,,,,,,,,,,,,rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,L1-102-18_SUTTON_4_7_17_TRIMS.csv,mens jacket hang tag,,soluna/ mens jacket hang tag,,,,,,,,1,none,none,,,,none,mens jacket hang tag,,,none,,left side hand pocket zipper,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
